,Unnamed: 0,DATE,USER,SLEEP,HEART,STEP,ACTIVITY,10MIN_STEP_SUM,PSLEEP,MINFROMMIDNIGHT
0,30397,2016-04-02 00:08:00,2026352035,1,61,0,0,0.0,1,8
1,30398,2016-04-02 00:09:00,2026352035,1,62,0,0,0,2,9
2,30399,2016-04-02 00:10:00,2026352035,1,61,0,0,0,3,10
3,30400,2016-04-02 00:11:00,2026352035,1,61,0,0,0,4,11
4,30401,2016-04-02 00:12:00,2026352035,1,61,0,0,0,5,12
5,30402,2016-04-02 00:13:00,2026352035,1,61,0,0,0,6,13
6,30403,2016-04-02 00:14:00,2026352035,1,61,0,0,0,7,14
7,30404,2016-04-02 00:15:00,2026352035,1,61,0,0,0,8,15
8,30405,2016-04-02 00:16:00,2026352035,1,60,0,0,0,9,16
9,30406,2016-04-02 00:17:00,2026352035,1,67,0,0,0,10,17
10,30407,2016-04-02 00:18:00,2026352035,1,61,0,0,0,11,18
11,30408,2016-04-02 00:19:00,2026352035,1,61,0,0,0,12,19
12,30409,2016-04-02 00:20:00,2026352035,1,62,0,0,0,13,20
13,30410,2016-04-02 00:21:00,2026352035,1,63,0,0,0,14,21
14,30411,2016-04-02 00:22:00,2026352035,1,63,0,0,0,15,22
15,30412,2016-04-02 00:23:00,2026352035,1,63,0,0,0,16,23
16,30413,2016-04-02 00:24:00,2026352035,1,61,0,0,0,17,24
17,30414,2016-04-02 00:25:00,2026352035,1,59,0,0,0,18,25
18,30415,2016-04-02 00:26:00,2026352035,1,62,0,0,0,19,26
19,30416,2016-04-02 00:27:00,2026352035,1,63,0,0,0,20,27
20,30417,2016-04-02 00:28:00,2026352035,1,62,0,0,0,21,28
21,30418,2016-04-02 00:29:00,2026352035,1,63,0,0,0,22,29
22,30419,2016-04-02 00:30:00,2026352035,1,64,0,0,0,23,30
23,30420,2016-04-02 00:31:00,2026352035,1,65,0,0,0,24,31
24,30421,2016-04-02 00:32:00,2026352035,1,64,0,0,0,25,32
25,30422,2016-04-02 00:33:00,2026352035,1,63,0,0,0,26,33
26,30423,2016-04-02 00:34:00,2026352035,1,62,0,0,0,27,34
27,30424,2016-04-02 00:35:00,2026352035,1,62,0,0,0,28,35
28,30425,2016-04-02 00:36:00,2026352035,1,62,0,0,0,29,36
29,30426,2016-04-02 00:37:00,2026352035,1,62,0,0,0,30,37
30,30427,2016-04-02 00:38:00,2026352035,1,59,0,0,0,31,38
31,30428,2016-04-02 00:39:00,2026352035,1,60,0,0,0,32,39
32,30429,2016-04-02 00:40:00,2026352035,1,61,0,0,0,33,40
33,30430,2016-04-02 00:41:00,2026352035,1,61,0,0,0,34,41
34,30431,2016-04-02 00:42:00,2026352035,1,60,0,0,0,35,42
35,30432,2016-04-02 00:43:00,2026352035,1,62,0,0,0,36,43
36,30433,2016-04-02 00:44:00,2026352035,1,61,0,0,0,37,44
37,30434,2016-04-02 00:45:00,2026352035,1,62,0,0,0,38,45
38,30435,2016-04-02 00:46:00,2026352035,1,62,0,0,0,39,46
39,30436,2016-04-02 00:47:00,2026352035,1,62,0,0,0,40,47
40,30437,2016-04-02 00:48:00,2026352035,1,63,0,0,0,41,48
41,30438,2016-04-02 00:49:00,2026352035,1,63,0,0,0,42,49
42,30439,2016-04-02 00:50:00,2026352035,1,63,0,0,0,43,50
43,30440,2016-04-02 00:51:00,2026352035,1,62,0,0,0,44,51
44,30441,2016-04-02 00:52:00,2026352035,1,60,0,0,0,45,52
45,30442,2016-04-02 00:53:00,2026352035,1,64,0,0,0,46,53
46,30443,2016-04-02 00:54:00,2026352035,1,63,0,0,0,47,54
47,30444,2016-04-02 00:55:00,2026352035,1,61,0,0,0,48,55
48,30445,2016-04-02 00:56:00,2026352035,1,61,0,0,0,49,56
49,30446,2016-04-02 00:57:00,2026352035,1,62,0,0,0,50,57
50,30447,2016-04-02 00:58:00,2026352035,1,61,0,0,0,51,58
51,30448,2016-04-02 00:59:00,2026352035,1,60,0,0,0,52,59
52,30449,2016-04-02 01:00:00,2026352035,1,63,0,0,0,53,60
53,30450,2016-04-02 01:01:00,2026352035,1,63,0,0,0,54,61
54,30451,2016-04-02 01:02:00,2026352035,1,66,0,0,0,55,62
55,30452,2016-04-02 01:03:00,2026352035,1,67,0,0,0,56,63
56,30453,2016-04-02 01:04:00,2026352035,1,67,0,0,0,57,64
57,30454,2016-04-02 01:05:00,2026352035,1,70,0,0,0,58,65
58,30455,2016-04-02 01:06:00,2026352035,1,70,0,0,0,59,66
59,30456,2016-04-02 01:07:00,2026352035,1,69,0,0,0,60,67
60,30457,2016-04-02 01:08:00,2026352035,1,64,0,0,0,61,68
61,30458,2016-04-02 01:09:00,2026352035,1,64,0,0,0,62,69
62,30459,2016-04-02 01:10:00,2026352035,1,63,0,0,0,63,70
63,30460,2016-04-02 01:11:00,2026352035,1,63,0,0,0,64,71
64,30461,2016-04-02 01:12:00,2026352035,1,63,0,0,0,65,72
65,30462,2016-04-02 01:13:00,2026352035,1,65,0,0,0,66,73
66,30463,2016-04-02 01:14:00,2026352035,1,71,0,0,0,67,74
67,30464,2016-04-02 01:15:00,2026352035,1,77,0,0,0,68,75
68,30465,2016-04-02 01:16:00,2026352035,1,74,0,0,0,69,76
69,30466,2016-04-02 01:17:00,2026352035,1,72,0,0,0,70,77
70,30467,2016-04-02 01:18:00,2026352035,1,71,0,0,0,71,78
71,30468,2016-04-02 01:19:00,2026352035,1,72,0,0,0,72,79
72,30469,2016-04-02 01:20:00,2026352035,1,72,0,0,0,73,80
73,30470,2016-04-02 01:21:00,2026352035,1,72,0,0,0,74,81
74,30471,2016-04-02 01:22:00,2026352035,1,72,0,0,0,75,82
75,30472,2016-04-02 01:23:00,2026352035,1,72,0,0,0,76,83
76,30473,2016-04-02 01:24:00,2026352035,1,72,0,0,0,77,84
77,30474,2016-04-02 01:25:00,2026352035,1,74,0,0,0,78,85
78,30475,2016-04-02 01:26:00,2026352035,1,75,0,0,0,79,86
79,30476,2016-04-02 01:27:00,2026352035,1,77,0,0,0,80,87
80,30477,2016-04-02 01:28:00,2026352035,1,79,0,0,0,81,88
81,30478,2016-04-02 01:29:00,2026352035,1,79,0,0,0,82,89
82,30479,2016-04-02 01:30:00,2026352035,1,77,0,0,0,83,90
83,30480,2016-04-02 01:31:00,2026352035,1,75,0,0,0,84,91
84,30481,2016-04-02 01:32:00,2026352035,1,75,0,0,0,85,92
85,30482,2016-04-02 01:33:00,2026352035,1,75,0,0,0,86,93
86,30483,2016-04-02 01:34:00,2026352035,1,75,0,0,0,87,94
87,30484,2016-04-02 01:35:00,2026352035,1,75,0,0,0,88,95
88,30485,2016-04-02 01:36:00,2026352035,1,75,0,0,0,89,96
89,30486,2016-04-02 01:37:00,2026352035,1,75,0,0,0,90,97
90,30539,2016-04-02 02:30:00,2026352035,1,72,0,0,0.0,91,150
91,30540,2016-04-02 02:31:00,2026352035,1,66,0,0,0,92,151
92,52319,2016-04-17 05:30:00,2026352035,0,67,0,0,0.0,92,330
93,52320,2016-04-17 05:31:00,2026352035,0,67,0,0,0,92,331
94,52321,2016-04-17 05:32:00,2026352035,0,66,0,0,0,92,332
95,52322,2016-04-17 05:33:00,2026352035,0,64,0,0,0,92,333
96,52323,2016-04-17 05:34:00,2026352035,0,63,0,0,0,92,334
97,52324,2016-04-17 05:35:00,2026352035,0,64,0,0,0,92,335
98,52325,2016-04-17 05:36:00,2026352035,0,65,0,0,0,92,336
99,52326,2016-04-17 05:37:00,2026352035,0,65,0,0,0,92,337
100,52327,2016-04-17 05:38:00,2026352035,0,65,0,0,0,92,338
101,52328,2016-04-17 05:39:00,2026352035,0,66,0,0,0,92,339
102,52329,2016-04-17 05:40:00,2026352035,0,69,0,0,0,92,340
103,52330,2016-04-17 05:41:00,2026352035,0,67,0,0,0,92,341
104,52331,2016-04-17 05:42:00,2026352035,0,68,0,0,0,92,342
105,52332,2016-04-17 05:43:00,2026352035,0,68,0,0,0,92,343
106,52333,2016-04-17 05:44:00,2026352035,0,68,0,0,0,92,344
107,52334,2016-04-17 05:45:00,2026352035,0,65,0,0,0,92,345
108,52335,2016-04-17 05:46:00,2026352035,0,65,0,0,0,92,346
109,52336,2016-04-17 05:47:00,2026352035,0,67,0,0,0,92,347
110,52337,2016-04-17 05:48:00,2026352035,0,66,0,0,0,92,348
111,52338,2016-04-17 05:49:00,2026352035,0,67,0,0,0,92,349
112,52339,2016-04-17 05:50:00,2026352035,0,67,0,0,0,92,350
113,52340,2016-04-17 05:51:00,2026352035,0,68,0,0,0,92,351
114,52341,2016-04-17 05:52:00,2026352035,0,68,0,0,0,92,352
115,52342,2016-04-17 05:53:00,2026352035,0,68,0,0,0,92,353
116,52343,2016-04-17 05:54:00,2026352035,0,67,0,0,0,92,354
117,52344,2016-04-17 05:55:00,2026352035,0,67,0,0,0,92,355
118,52345,2016-04-17 05:56:00,2026352035,0,67,0,0,0,92,356
119,52346,2016-04-17 05:57:00,2026352035,0,70,0,0,0,92,357
120,52347,2016-04-17 05:58:00,2026352035,0,71,0,0,0,92,358
121,52348,2016-04-17 05:59:00,2026352035,0,72,0,0,0,92,359
122,52349,2016-04-17 06:00:00,2026352035,0,72,0,0,0,92,360
123,52350,2016-04-17 06:01:00,2026352035,0,72,0,0,0,92,361
124,52351,2016-04-17 06:02:00,2026352035,0,70,0,0,0,92,362
125,52352,2016-04-17 06:03:00,2026352035,0,69,0,0,0,92,363
126,52353,2016-04-17 06:04:00,2026352035,0,73,5,5,0,92,364
127,52354,2016-04-17 06:05:00,2026352035,0,73,27,32,5,92,365
128,52355,2016-04-17 06:06:00,2026352035,0,73,29,61,32,92,366
129,52356,2016-04-17 06:07:00,2026352035,0,73,12,73,61,92,367
130,52357,2016-04-17 06:08:00,2026352035,0,74,0,73,73,92,368
131,52358,2016-04-17 06:09:00,2026352035,0,74,5,78,73,92,369
132,52359,2016-04-17 06:10:00,2026352035,0,74,0,78,78,92,370
133,52360,2016-04-17 06:11:00,2026352035,0,74,0,78,78,92,371
134,52361,2016-04-17 06:12:00,2026352035,0,74,0,78,78,92,372
135,52362,2016-04-17 06:13:00,2026352035,0,74,0,78,78,92,373
136,52363,2016-04-17 06:14:00,2026352035,0,74,0,78,78,92,374
137,52364,2016-04-17 06:15:00,2026352035,0,74,20,98,73,92,375
138,52365,2016-04-17 06:16:00,2026352035,0,74,0,98,66,92,376
139,52366,2016-04-17 06:17:00,2026352035,0,74,4,102,37,92,377
140,52367,2016-04-17 06:18:00,2026352035,0,74,0,102,29,92,378
141,52368,2016-04-17 06:19:00,2026352035,0,74,0,102,29,92,379
142,52369,2016-04-17 06:20:00,2026352035,0,74,0,102,24,92,380
143,52370,2016-04-17 06:21:00,2026352035,0,74,15,117,24,92,381
144,52371,2016-04-17 06:22:00,2026352035,0,74,15,132,39,92,382
145,52372,2016-04-17 06:23:00,2026352035,0,74,35,167,54,92,383
